form	lemma	POS	morph
དཀར་ཆག་	དཀར་ཆག་	NOUN
ལམ་	གམ་	PART
དྲི་མ་	དྲི་མ་	NOUN
མེད་པ་	མེད་པ་	VERB
དངུལ་	དངུལ་	NOUN
སྒོང་	སྒོང་	NO_POS
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
སྐོར་	སྐོར་	NOUN
།		PUNCT
		
ཕ་	ཕ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
།		PUNCT
		
ལམ་	གམ་	PART
དྲི་མ་	དྲི་མ་	NOUN
མེད་པ་	མེད་པ་	VERB
གསེར་	གསེར་	NOUN
སྒོང་	སྒོང་	NO_POS
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
སྐོར་	སྐོར་	NOUN
།		PUNCT
		
ཕ་	ཕ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
།		PUNCT
		
ལམ་	གམ་	PART
དྲི་མ་	དྲི་མ་	NOUN
མེད་པ་	མེད་པ་	VERB
ཤེལ་སྒོང་	ཤེལ་སྒོང་	NO_POS
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
སྐོར་	སྐོར་	NOUN
།		PUNCT
		
ཕ་	ཕ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
།		PUNCT
		
རྒྱ་གར་	རྒྱ་གར་	PROPN
གྱི་	གི་	PART
གྲུབ་ཐོབ་	གྲུབ་ཐོབ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
དིང་རི་	དིང་རི་	PROPN
བརྒྱད་ཅུ་པ་	བརྒྱད་ཅུ་པ་	NO_POS
།		PUNCT
		
ཕ་	ཕ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
།		PUNCT
		
གྲུབ་ཆེན་	གྲུབ་ཆེན་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
དམ་ཆོས་	དམ་ཆོས་	NOUN
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ཀྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
དྲིལ་བ་	དྲིལ་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
མགུ་	མགུ་	NOUN
།		PUNCT
		
ཕ་	ཕ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
།		PUNCT
		
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀྱི་	གི་	PART
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
ལ་	ལ་	PART
གསུངས་པ་	གསུངས་པ་	VERB
།		PUNCT
		
ཕ་	ཕ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
།		PUNCT
		
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
ཞལ་ཆེམས་	ཞལ་ཆེམས་	NOUN
པད་མོ་	པད་མོ་	NOUN
བརྩེགས་པ་	བརྩེགས་པ་	VERB
།		PUNCT
		
ཕ་	ཕ་	NOUN
དམ་པ་	དམ་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
།		PUNCT
		
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
གཅོད་	གཅོད་	NO_POS
ཀྱི་	གི་	PART
གཞུང་	གཞུང་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
སྐྲ་རྩེ་	སྐྲ་རྩེ་	PROPN
འི་	གི་	PART
ས་	ས་	ADP
གཞུང་	གཞུང་	NOUN
སྤེལ་བ་	སྤེལ་བ་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
འི་	གི་	PART
གཏེར་མཛོད་	གཏེར་མཛོད་	NOUN
།		PUNCT
		
མ་	མ་	PART
ལབ་	ལབ་	VERB
སྒྲོན་	སྒྲོན་	NOUN
།		PUNCT
		
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
ཡང་	ཀྱང་	PART
ཚོམས་	ཚོམས་	NOUN
ཞུ་	ཞུ་	VERB
ལན་	ལན་	NOUN
མ་	མ་	PART
།		PUNCT
		
མ་	མ་	PART
ལབ་	ལབ་	VERB
སྒྲོན་	སྒྲོན་	NOUN
།		PUNCT
		
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
བདུད་	བདུད་	NOUN
ཀྱི་	གི་	PART
གཅོད་	གཅོད་	NO_POS
ཡུལ་	ཡུལ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཉིང་	ཉིང་	NO_POS
ཚོམས་	ཚོམས་	NOUN
།		PUNCT
		
མ་	མ་	PART
ལབ་	ལབ་	VERB
སྒྲོན་	སྒྲོན་	NOUN
།		PUNCT
		
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཀྱི་	གི་	PART
ཕ་རོལ་	ཕ་རོལ་	NOUN
ཏུ་	ལ་	PART
ཕྱིན་པ་	ཕྱིན་པ་	VERB
འི་	གི་	PART
མན་ངག་	མན་ངག་	NOUN
གཅོད་	གཅོད་	NO_POS
ཀྱི་	གི་	PART
གཞུང་འགྲེལ་	གཞུང་འགྲེལ་	NOUN
ཟག་མེད་	ཟག་མེད་	ADJ
སྦྲང་རྩི་	སྦྲང་རྩི་	NOUN
།		PUNCT
		
མ་	མ་	PART
ལབ་	ལབ་	VERB
སྒྲོན་	སྒྲོན་	NOUN
།		PUNCT
		
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
ཤངས་པ་	ཤངས་པ་	PROPN
བཀའ་	བཀའ་	NOUN
བརྒྱུད་	བརྒྱུད་	NO_POS
ཀྱི་	གི་	PART
དོ་ཧ་	དོ་ཧ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
ཚིག་རྐང་	ཚིག་རྐང་	OTHER
དང་	དང་	NO_POS
མགུར་དབྱངས་	མགུར་དབྱངས་	NO_POS
ཕྱོགས་	ཕྱོགས་	NOUN
གཅིག་	གཅིག་	NUM
ཏུ་	ལ་	PART
བསྒྲིགས་པ་	བསྒྲིགས་པ་	VERB
ཐོས་པ་	ཐོས་པ་	VERB
དོན་ལྡན་	དོན་ལྡན་	ADJ
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
།		PUNCT
		
ཁྱུང་པོ་	ཁྱུང་པོ་	OTHER
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
སོགས་	སོགས་	DET
།		PUNCT
		
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
ཆགདཀར་		NON_WORD
ཆག་	ཆག་	VERB
		
